,id,name,brewery,style,abv,ibu,rating
236,MqTIG4,72 Imperial Chocolate Cream Stout (Barrel Aged),Breckenridge Brewery,Stout - Milk / Sweet,11.6% ABV,11 IBU,(3.901)
237,MqTIG4,72 Imperial Barrel Series: Whiskey Barrel,Breckenridge Brewery,Stout - Imperial / Double,8.3% ABV,N/A IBU,(3.888)
238,MqTIG4,Barrel-Aged 72 Imperial Chocolate Cream Stout,Breckenridge Brewery,Stout - American Imperial / Double,11.6% ABV,N/A IBU,(4.235)
239,MqTIG4,Imperial IPA Release 72,"Epic Brewing Co. (Utah, Colorado)",IPA - Imperial / Double,8.5% ABV,N/A IBU,(0)
240,MqTIG4,72 Imperial Chocolate Cream Stout (2015),Breckenridge Brewery,Stout - Milk / Sweet,7.2% ABV,11 IBU,(3.807)
241,MqTIG4,72 Imperial Chocolate Cream Stout W/ Mint,Breckenridge Brewery,Stout - Milk / Sweet,7.2% ABV,N/A IBU,(0)
242,MqTIG4,72 Imperial Chocolate Cream Stout W/ Cinnamon,Breckenridge Brewery,Stout - Milk / Sweet,7.2% ABV,N/A IBU,(0)
243,wDgaK8,A Beer Named Sue,Fall Brewing Company,Lager - Amber,5.5% ABV,N/A IBU,(3.543)
244,wDgaK8,A Beer Named Sue,Cigar City Brewing,Sour - Berliner Weisse,3.9% ABV,N/A IBU,(4.011)
245,wDgaK8,A Beer Named Sue,Prodigal Son Brewery,Golden Ale,4.6% ABV,14 IBU,(3.501)
246,wDgaK8,A Beer Named Sue,Screamin' Hill Brewery,Other,5.6% ABV,N/A IBU,(3.658)
247,wDgaK8,A Beer Named Sue,The Brewtorium - Brewery & Kitchen,IPA - American,6.3% ABV,57 IBU,(3.753)
248,wDgaK8,A Beer Named Sue,Malmö Brewing Co.,Saison / Farmhouse Ale,7.2% ABV,N/A IBU,(3.412)
249,wDgaK8,A Beer Named Sue,Harbottle Brewing Company,Stout - American Imperial / Double,9.5% ABV,50 IBU,(4.14)
250,wDgaK8,A Beer Named Sue,Cervecería Dos Pistones,Blonde Ale,4.5% ABV,35 IBU,(3.708)
251,wDgaK8,A Beer Named Sue,Goose Island Brewhouse,IPA - Black / Cascadian Dark Ale,N/A ABV,N/A IBU,(3.75)
252,wDgaK8,A Beer Named Sue,Four Leaf Brewing,IPA - English,5.4% ABV,N/A IBU,(3.674)
253,wDgaK8,A Beer Named Sue,Zwei Brewing Co.,IPA - Imperial / Double,8.8% ABV,90 IBU,(3.848)
254,wDgaK8,A Beer Named Sue: Sour Cherry Saison (Lab Rat Series),Geneseo Brewing Co,Saison / Farmhouse Ale,7.4% ABV,N/A IBU,(3.405)
255,wDgaK8,A Beer Named Sue,Modern Day Monks,Pale Ale - Belgian,4.2% ABV,N/A IBU,(3.712)
256,wDgaK8,A Beer Named Sue,Jack Russell Brewing Company,Lager - Dark,3.9% ABV,N/A IBU,(0)
257,wDgaK8,A Beer Named Sue,Strum Brewing Company,Pale Ale - American,7.4% ABV,N/A IBU,(0)
258,wDgaK8,A Beer Named Sue Szwickle,Fall Brewing Company,Lager - Amber,4% ABV,N/A IBU,(0)
259,wDgaK8,A Beer Named Sue Black Saison,Steel String Brewery,Saison / Farmhouse Ale,5.7% ABV,30 IBU,(3.666)
260,wDgaK8,A Beer Named Sue,Zero Gravity Craft Brewery,Saison / Farmhouse Ale,5.7% ABV,N/A IBU,(3.378)
261,wDgaK8,A Beer Named Sue,McMenamins,Red Ale - American Amber / Red,6.32% ABV,66 IBU,(3.688)
262,wDgaK8,This Is A Beer For A Superhero Named Tony. It's Called Tony's Beer.,McMenamins,Lager - Pale,6.45% ABV,36 IBU,(3.605)
263,wDgaK8,A Beer Named Sue,Teufels Eck Brewery,Homebrew  |  Pale Ale - American,6.3% ABV,55 IBU,(0)
264,wDgaK8,A Beer Named Sue,CGE/GTFF Brewoff,Homebrew  |  Sour - Ale,N/A ABV,N/A IBU,(0)
265,wDgaK8,A Beer Named Sue,MR Brewing,Homebrew  |  Pale Ale - American,5.8% ABV,50 IBU,(0)
266,wDgaK8,A Beer Named Sue,PK Brewing,Homebrew  |  IPA - American,8% ABV,N/A IBU,(0)
267,Au0v9G,A Little Sumpin' Extra! Ale,Lagunitas Brewing Company,IPA - Imperial / Double,8.7% ABV,72 IBU,(3.988)
268,Au0v9G,A Little Sumpin' Extra (w/ Nelson Sauvin Hops),Lagunitas Brewing Company,Strong Ale - American,8.5% ABV,64 IBU,(4.08)
269,svXHfu,A Little Sumpin' Sumpin' Ale,Lagunitas Brewing Company,Pale Wheat Ale - American,7.5% ABV,65 IBU,(3.831)
270,svXHfu,A Little Sumpin' Extra! Ale,Lagunitas Brewing Company,IPA - Imperial / Double,8.7% ABV,72 IBU,(3.988)
271,svXHfu,A Little Sumpin' Wild Ale,Lagunitas Brewing Company,IPA - Belgian,8.8% ABV,72 IBU,(3.849)
272,svXHfu,Sumpin’ Easy,Lagunitas Brewing Company,Pale Wheat Ale - American,5.7% ABV,51 IBU,(3.614)
273,svXHfu,A Little Sumpin’ Sumpin Ale (2018),Lagunitas Brewing Company,Pale Wheat Ale - American,7.5% ABV,65 IBU,(3.805)
274,svXHfu,A Little Sumpin’ Sumpin’ Ale With Mangoes,Lagunitas Brewing Company,Pale Wheat Ale - American,7.5% ABV,60 IBU,(3.641)
275,svXHfu,Little Sumpin' WIT,Lagunitas Brewing Company,Witbier,7.5% ABV,N/A IBU,(3.494)
276,svXHfu,A Little Sumpin’ Sumpin’ - Southern Hemisphere,Lagunitas Brewing Company,IPA - American,7.5% ABV,N/A IBU,(3.663)
277,svXHfu,A Little Sumpin Sumpin Ale (Apricot),Lagunitas Brewing Company,Pale Wheat Ale - American,7.5% ABV,N/A IBU,(0)
